DC,7x60 6x60,4x65 7x60 4x60,6x60 4x65 6x60,6x65 7x60 6x60,6x60 6x60 5x60,5x60 7x60,60,5x65 5x60 6x60,3x70 5x65 5x60,3x70 5x65 ,"5,5x70 5x65 8x60","2,5x75 6x65",4x75 5x70 6x75,2x80 5x70,4x80 6x70 6x65,"2,5x85 8x70 6x70",3x85 6x75,1x90 4x75
Tirage vertical ,7x45 6x55 4x50,8x60 7x60,6x65 6x60 7x55,"54,3",59,52,"2x54,3 1x52",59,"61,3 66",2x66 1x52,66,"2x68,2",2x73,"5x75,3 4x75,3",4x79 5x73 7x66,"5,5x79 7x73 6x66",6x79 4x79 9x66,"6x81,3 4x81,3 7x68,3"
Tirage machine vertical ,60x9 60x10 60x11,80,85,,,,,,,,,,,,,,,
Tirage horizontal ,55,1x60 1x55 1x60,1x66 1x52 1x59,1x66,4x73,1x59 1x73 1x66,2x73,5x79 7x73 6x73,,,,,,,,,,
Shoulder press,30,1x35 ->30,23 basic fit ,32,1x27 1x36 1x32,36,41,"43,2",45,45 difficile ,"6x46,1",5x50 7x41,"4x51,1 5x45 7x41","5x51,1 6x46,1",4x54 7x45 5x45,"8x56,2 6x59",1x64 1x59 6x50,
Machine curl ,25,36,36,41,45,"46,1",50,"52,3",54,59,"61,3",64,64,68,,,,
Elev latéral ,7,8,10,10,12,,,,,,,,,,,,,
Machine pecs ,30,35,35,40,25 basic fit,30,35,,,,,,,,,,,
Pec fly ,20,45,52,59,66,66,73,73,79,86,86 douleurs épaules ,93,,,,,,
Barre biceps ,15,15,,,,,,,,,,,,,,,,
Hauteur siège ,3,,,,,,,,,,,,,,,,,
DC guidé ,40,50,,,,,,,,,,,,,,,,
D Lat Pulldown,36,41,,,,,,,,,,,,,,,,
Leg press,100,110,120,130,140,150,5x160 8x140,5x180 6x160,,,,,,,,,,
Leg extension,59,59,66,"68,2",,,,,,,,,,,,,,
Hack squat ,20,3x25,,,,,,,,,,,,,,,,
Traction assistée ,18kg ,18,18 7rep ,9,"4,5",,,,,,,,,,,,,
Traction ,4,4,5,3x5,6x1 4x1 6x1,7x1 5x1 5x1,7x1 6x1 5x1,10x1 6x1 5x1,,,,,,,,,,
Converging Chest press ,45,,,,,,,,,,,,,,,,,
Ext triceps,18,,,,,,,,,,,,,,,,,
Seated row ,59,"61,3",66 59 52 ,"60,1",66,66,"69,4 69,4 59","7x69,4",6x73 5x73,"6x76,3 3x76,3 8x66","5x80,1 6x74,1 6x67",,,,,,,
Avant bras poulie,15,18,,,,,,,,,,,,,,,,
Tir horiz large ,52,,,,,,,,,,,,,,,,,
